"kills","assists","damageDealt","timeSurvived","wins","cluster"
1060,0,127364.3,260496,16,"1"
0,0,0,0,0,"1"
3769,1604,537476.7,1434934,185,"2"
0,0,0,0,0,"1"
37,6,6393.1553,23330,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
607,166,83551.266,254737,7,"1"
0,0,0,0,0,"1"
878,148,118845.984,298899,15,"1"
2,1,176.659,953,1,"1"
9,0,905.7705,3117,0,"1"
0,0,0,152,0,"1"
5339,1612,697566.94,1667249,120,"2"
6,0,266.16327,310,0,"1"
1,1,74.22,2856,0,"1"
0,0,0,0,0,"1"
4,0,415.5374,2069,0,"1"
0,0,0,0,0,"1"
474,167,80011.625,409404,31,"1"
0,0,0,0,0,"1"
76,6,9355.318,25413.035,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
938,312,136458.6,512159.78,20,"1"
0,0,0,0,0,"1"
44,5,6304.464,19755,2,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
2845,879,421087.7,1366606,80,"2"
0,0,0,0,0,"1"
205,37,29565.668,71682,4,"1"
7,0,670.3722,1046,0,"1"
19,0,2017.489,3385,0,"1"
0,0,0,0,0,"1"
892,294,135064.77,478459,35,"1"
0,0,0,0,0,"1"
358,42,45329.332,99316.2,8,"1"
0,0,0,0,0,"1"
17,0,1610.3916,12016,0,"1"
0,0,0,0,0,"1"
6940,1991,1052782.8,2967732,376,"4"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
2415,885,301863.22,748334.75,84,"2"
0,0,0,0,0,"1"
111,19,16007.379,94755,3,"1"
0,0,0,0,0,"1"
8,0,986.8916,3132,0,"1"
0,0,0,0,0,"1"
913,398,150889.69,692125,50,"1"
11,7,1580.4011,4006,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,17747,0,"1"
0,0,0,0,0,"1"
407,57,46038.285,65983,6,"1"
427,10,41914.99,54987,0,"1"
176,32,19352.969,76124,3,"1"
0,0,0,0,0,"1"
11,0,1444.0326,4837,0,"1"
0,0,0,0,0,"1"
3021,1237,487558.38,1896967,113,"2"
0,0,0,0,0,"1"
29,10,3871.1335,14675,1,"1"
0,0,0,0,0,"1"
30,0,3459.282,8231,0,"1"
0,0,0,0,0,"1"
419,115,61055.855,225615,16,"1"
0,0,0,0,0,"1"
168,27,24475.418,45990,2,"1"
0,0,0,0,0,"1"
50,0,6046.3794,13905,1,"1"
11,0,1136.0704,1215,0,"1"
724,227,108261.516,301729,18,"1"
0,0,0,0,0,"1"
265,51,36932.69,154441,5,"1"
0,0,0,0,0,"1"
44,0,5612.151,29020,0,"1"
0,0,0,0,0,"1"
2707,901,374465.7,1391557,109,"2"
75,15,12731.939,41177,0,"1"
6844,1206,892470.3,2240415.5,195,"2"
456,89,67691.8,149791.44,14,"1"
171,12,20480.986,59341.113,8,"1"
0,0,0,0,0,"1"
6387,1880,896638.1,2464220.2,226,"4"
110,31,15826.492,39244.367,3,"1"
13,6,1790.3243,12440,1,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1126,417,150971.73,691485,46,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
45,8,7148.916,9755,4,"1"
0,0,0,0,0,"1"
54,15,6855.8276,23955,3,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
229,89,31987.258,129815,14,"1"
0,0,0,0,0,"1"
39,4,4951.8774,14421,4,"1"
0,0,0,0,0,"1"
57,0,6783.806,10802,2,"1"
0,0,0,0,0,"1"
1098,260,155929.61,371222,41,"1"
0,0,0,0,0,"1"
107,21,16133.744,49922,2,"1"
14,3,1489.1095,4825,1,"1"
125,0,11943.661,24098,0,"1"
15,0,1348.4216,3433,0,"1"
1224,460,195235.72,766864,59,"1"
919,310,133764.45,560183,55,"1"
297,71,38541.906,108911,9,"1"
0,0,0,0,0,"1"
916,0,99390.85,199032,40,"1"
0,0,0,0,0,"1"
7507,3087,993996.1,2408406,601,"4"
34,6,3469.6245,6395,4,"1"
22,5,3344.7422,15394.986,1,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
3315,1315,540196.7,2027722,170,"2"
0,0,0,0,0,"1"
2,0,250.07121,1382,0,"1"
0,0,0,0,0,"1"
9,0,909.2439,3454,0,"1"
0,0,0,0,0,"1"
1012,315,148833.06,433527,34,"1"
0,0,0,0,0,"1"
78,16,10385.278,63133,1,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
520,235,80870.06,473567,29,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
34,0,3602.2969,28860,0,"1"
0,0,0,0,0,"1"
3356,1041,442638.12,1766393,150,"2"
0,0,0,0,0,"1"
1288,465,166352.56,1087760.9,80,"2"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
3597,1820,491113.5,2870536.2,284,"2"
0,0,0,0,0,"1"
11,4,2020.4025,7999,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1664,464,243706.58,756618,36,"1"
0,0,0,0,0,"1"
515,64,68498,118634,13,"1"
0,0,0,0,0,"1"
76,0,8147.464,14236,2,"1"
0,0,0,0,0,"1"
6713,2157,941436.94,1939244,231,"4"
4,4,832.6834,1430,1,"1"
33,11,4170.3447,39017,3,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
264,103,30568.562,174179.11,33,"1"
1,3,173.90524,1312,0,"1"
200,35,27505.688,103602.91,4,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1974,672,278842.9,950191.56,59,"2"
0,0,0,0,0,"1"
333,69,41859.742,156256.31,13,"1"
0,0,0,0,0,"1"
164,10,18895.771,61362.668,3,"1"
0,0,0,0,0,"1"
12547,4230,1693415.8,6659308,455,"4"
1,0,429.52216,3184,0,"1"
155,37,25381.232,141634.36,1,"1"
0,0,0,0,0,"1"
86,2,9828.143,35669.355,2,"1"
0,0,0,0,0,"1"
4509,1628,683675.94,2084037.6,130,"2"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1259,424,164316.7,555737,25,"1"
0,0,0,0,0,"1"
476,96,67132.84,384477.6,7,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
2553,1252,382112.8,1934947,198,"2"
125,43,18942.018,141682.45,3,"1"
729,149,99101.16,413204.1,18,"1"
0,0,0,0,0,"1"
515,21,61247.46,301846.34,13,"1"
0,0,0,0,0,"1"
3137,752,406635,1357415.5,112,"2"
21,4,2759.3813,10645.286,1,"1"
66,16,9544.696,76004,2,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
211,111,34249.434,258713,22,"1"
0,0,0,0,0,"1"
4,0,334.99664,1922,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
4018,1231,594463.7,2452400,188,"2"
0,0,0,0,0,"1"
115,21,15660.81,68571,1,"1"
0,0,0,0,0,"1"
194,0,24743.256,104648,2,"1"
10,0,699.8794,1464,0,"1"
1507,522,241743.89,1011024,49,"2"
0,0,0,0,0,"1"
124,30,20014.793,63262,3,"1"
0,0,0,0,0,"1"
9,0,1159.7617,2674,0,"1"
0,0,0,0,0,"1"
1067,523,173313.11,663396,55,"1"
0,0,0,0,0,"1"
190,42,30207.729,79738,2,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
3,0,310.6,530,0,"1"
814,247,151433.98,446661,18,"1"
310,96,54465.156,162367,8,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1845,687,311603.66,1049401,62,"2"
0,0,0,0,0,"1"
381,58,44908.21,83508.24,10,"1"
0,0,0,0,0,"1"
158,0,18113.764,29409.879,0,"1"
18,0,1855.9186,2276.895,0,"1"
1167,396,161698.33,386739.75,37,"1"
0,0,0,0,0,"1"
787,224,107822.65,340738.53,43,"1"
35,0,3594.2197,4405.171,2,"1"
136,0,14219.237,36715.22,1,"1"
24,0,2217.593,2982.601,2,"1"
7397,3049,1082082.9,4144708.2,661,"4"
153,30,16147.964,26206.717,18,"1"
121,24,19385.305,68212,3,"1"
0,0,0,0,0,"1"
509,0,63582.727,202172,6,"1"
2,0,243.875,853,0,"1"
6800,2616,1036064.75,4231134,326,"4"
12,11,1879.5315,7415,2,"1"
528,92,72930.11,232285.55,7,"1"
0,0,0,0,0,"1"
1067,47,125673.125,354619.12,13,"1"
0,0,0,0,0,"1"
1693,531,241307.39,888163.94,42,"2"
0,0,0,0,0,"1"
829,239,112822.945,474074.03,40,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
1354,500,198428.03,927709.06,74,"2"
0,0,0,0,0,"1"
281,82,37517.832,199643.72,13,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
2401,661,355831,1632146.6,111,"2"
0,0,0,0,0,"1"
13,0,1218.23,2104,1,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
6174,2126,954304.7,3544822.5,247,"4"
1,0,166.15506,944,0,"1"
2494,404,309385.88,942760.7,73,"2"
25,0,2695.6982,6675.404,1,"1"
2324,149,257691.61,825441.75,70,"2"
0,0,0,0,0,"1"
2653,642,348048.1,1184808.2,74,"2"
8,1,746.4606,4527.1694,0,"1"
41,11,6188.9653,33678,2,"1"
0,0,0,0,0,"1"
10,0,925.9168,2328,0,"1"
0,0,0,0,0,"1"
578,350,103721.51,665381,36,"1"
0,0,0,0,0,"1"
66,3,7577.2373,15531,0,"1"
0,0,0,0,0,"1"
2,0,465.43723,1348,0,"1"
0,0,0,0,0,"1"
2785,757,382949.94,924071,58,"2"
0,0,0,0,0,"1"
306,64,38405.953,102318,3,"1"
0,0,0,0,0,"1"
528,0,60087.105,152718,10,"1"
0,0,0,0,0,"1"
9667,2916,1321935,3627269.5,312,"4"
0,0,0,0,0,"1"
517,140,79746.695,425328,18,"1"
0,0,0,0,0,"1"
87,0,9756.664,69087,0,"1"
6,0,807.6406,1720,0,"1"
2327,755,349638.66,1688468,113,"2"
0,0,637.7901,11999,0,"1"
900,200,124174.73,436376,19,"1"
4,0,467.34033,1043,0,"1"
34,0,4195.357,9547,0,"1"
0,0,0,0,0,"1"
1807,777,284651.4,1056707,75,"2"
7,4,1135.4279,3308,1,"1"
18,2,2849.7688,11565,0,"1"
0,0,0,0,0,"1"
2,0,255.79999,4093,0,"1"
0,0,0,0,0,"1"
976,321,123992.4,405117,44,"1"
0,0,0,0,0,"1"
10,1,1071.9966,1447,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
615,185,91866.96,307354,25,"1"
47,15,6210.5957,17036,1,"1"
316,71,50110.727,179447,20,"1"
0,0,0,0,0,"1"
4,0,679.796,4103,0,"1"
0,0,0,0,0,"1"
4242,1645,740951.9,2358813,182,"2"
0,0,70.94481,274,0,"1"
6,1,1434.1118,4164,0,"1"
0,0,0,0,0,"1"
22,0,2183.7922,8145,0,"1"
0,0,0,0,0,"1"
2466,953,339722.5,1369307,102,"2"
3,1,299.57034,1291,0,"1"
12,2,1636.478,5631.2734,1,"1"
140,58,20153.535,44480,3,"1"
7,0,885.2796,1975.637,0,"1"
40,0,4545.634,9288.8545,1,"1"
52,9,6550.4385,35264.05,0,"1"
2129,709,292217.34,515166.7,88,"2"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
3,2,564.6902,1866,0,"1"
492,102,67612.445,113222.984,30,"1"
14,0,1216.8247,877,0,"1"
566,25,67680.56,115684.664,14,"1"
151,10,13793.453,12736.26,3,"1"
6283,1297,966747.25,1630960.4,194,"2"
0,0,0,0,0,"1"
1249,406,183328.53,836513.7,38,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
0,0,0,0,0,"1"
