cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins,level,season
1,account.1e4baad7fb534f2a98eebf9218c5690e,110,753,535,11,2,68633.305,43,67,418,0,640,557.4912,1735,229,4,1735,0,NA,75,491385.12,69,25,256,3,2242.0942,2,241392,132,4,232447.45,1657,11,2,0,34,Good,n-5
3,account.00241a8f7bc945b99ec5d0ea90ea4467,1,3,2,6,0,444.65784,1,2,1,0,6,164.62842,1342,1,2,1342,0,NA,0,2965.074,0,6,1,0,0,0,1342,1,0,2731.653,5,6,0,0,0,Beginner,n-5
3,account.22c4ba7f00fe4ce9b8db0a82383533ca,0,2,2,3,0,295.9271,2,0,3,0,3,183.1723,932,2,2,932,0,NA,1,8094.413,2,3,2,1,0,0,1807,1,0,1398.4388,16,3,0,0,0,Beginner,n-5
3,account.002bb2b427ba48c4bda4de7e3204e032,0,0,0,1,1,72.55054,1,0,3,0,1,10.878501,1195,2,1,1195,0,NA,1,4103.266,0,1,2,0,0,0,2157,1,0,2321.3984,16,1,1,0,1,Beginner,n-5
3,account.b48dfdce687c45fe88703da5d29d1867,3,22,15,3,0,2451.1143,2,2,30,0,12,123.86868,1450,20,2,1450,0,NA,2,20398.26,1,3,21,1,220.0334,0,12302,7,0,18566.46,79,3,0,0,1,Beginner,n-5
3,account.5fa0178c2f91420d9a6c3e73e78ddc63,0,0,0,0,0,0,1,0,0,0,0,0,1080,1,0,1080,0,NA,0,0,0,0,1,0,0,0,1080,0,0,63.556416,0,0,0,0,0,Beginner,n-5
3,account.fb3a8a28a6e74b7c93cfd4878da81b2a,0,9,8,0,0,1123.6765,4,1,1,0,7,194.65117,1154,7,2,1154,0,NA,0,6058.582,0,5,7,0,0,0,4678,2,0,8573.86,25,0,0,0,0,Beginner,n-5
3,account.f44efffdd44f4fbcb53aa401348e1b0a,2,18,9,2,0,822.5706,4,2,28,0,6,36.777695,1254,11,1,1254,0,NA,3,13139.288,0,2,11,0,93.88789,1,6348,4,0,7186.421,39,2,0,0,1,Beginner,n-5
3,account.1db8941098354eff8825662960d61b14,0,7,5,0,0,695.1282,2,1,8,0,5,14.594227,1396,2,2,1396,0,NA,0,1293.4224,0,5,2,0,51.05776,0,1503,1,0,1395.0294,8,0,0,0,0,Beginner,n-5
3,account.3b6f1ed861ed48d88a124d42a0b2ba62,5,19,42,6,0,6428.2427,5,10,33,0,52,336.45874,1324,25,4,1324,0,NA,2,14058.748,0,25,25,0,0,0,13503,5,1,17998.795,91,15,1,0,1,Beginner,n-5
