cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
4,account.3cd8fb76bc3d41b2afb7af1eec2ba478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.b33a608f83464d89b8b5b44892594fa9,33,195,94,1,0,12575.882,6,19,171,0,73,305.66757,1631,86,3,1631,0,,24,81725.49,0,5,88,1,62.11283,1,57405,26,2,63377.395,488,1,0,0,3
4,account.7a22a71309b34fda97bf73c0196d99c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.477a1c860f7f4820b87a02571c9f8c29,23,173,92,23,1,13183.251,2,27,125,0,90,274.28036,1552,72,4,1552,0,,29,73781.78,0,8,73,0,116.53102,1,38899,13,2,40490.598,427,90,1,0,1
3,account.e87e3239d3f94ae6a7484a4a4a9c62ea,6,33,13,10,1,2093.4766,1,3,41,0,10,80.92857,1540,7,2,1540,0,,2,24859.334,0,3,8,0,24.752941,1,9240,5,0,14190.385,54,10,1,0,1
4,account.be304ec269e84fd9b23747951222b509,0,3,1,0,0,171.62009,1,0,3,0,0,0,800,2,0,800,0,,1,5462.275,0,0,2,0,0,0,1393,0,0,1408.1443,10,0,0,0,0
3,account.7212ce0c09084cabb9fe31f113c48d31,10,41,16,8,1,2615.386,3,5,33,0,19,104.81389,1346,24,2,1346,0,,11,12054.188,0,3,26,0,161.14363,0,13078,4,0,17767.371,162,19,2,0,2
3,account.8cdac2d70bb84b8a817e6034e6b28ff6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.8f5e8722fc9e4bd090577dbafe5f7809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.2c9d87b8becb43a68ad8a38edaa5fc3b,2,24,10,9,1,1194.2133,2,2,12,0,9,76.373985,1468,10,1,1468,0,,4,6340.8896,0,4,11,0,151.21704,1,7689,5,0,12280.266,76,9,1,0,1
3,account.1085e802dde043f4bebb058bb89087e1,7,25,10,6,1,1796.5914,2,4,31,0,8,115.80285,1463,15,2,1463,0,,2,16040.473,0,4,15,0,38.41046,0,11501,6,1,12286.435,108,8,1,0,1
