cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
4,account.3cd8fb76bc3d41b2afb7af1eec2ba478,35,154,92,2,0,13769.145,8,29,72,0,97,604.7658,1636,67,3,1636,0,,22,54607.684,0,13,73,1,668.4464,2,56010,33,1,64596.33,365,2,0,0,7
3,account.b33a608f83464d89b8b5b44892594fa9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.7a22a71309b34fda97bf73c0196d99c6,25,125,80,4,0,12563.166,13,32,53,0,108,470.32114,1606,50,4,1606,0,,21,91096.61,1,14,57,0,69.519684,1,33543,20,0,45123.273,190,7,0,0,8
3,account.477a1c860f7f4820b87a02571c9f8c29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.e87e3239d3f94ae6a7484a4a4a9c62ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.be304ec269e84fd9b23747951222b509,13,37,18,3,0,2681.3462,7,3,33,0,16,286.3507,1306,28,2,1306,0,,3,16245.395,0,4,29,0,180.96788,0,18634,16,0,24897.432,157,3,0,0,3
3,account.7212ce0c09084cabb9fe31f113c48d31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.8cdac2d70bb84b8a817e6034e6b28ff6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.8f5e8722fc9e4bd090577dbafe5f7809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.2c9d87b8becb43a68ad8a38edaa5fc3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.1085e802dde043f4bebb058bb89087e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.9b231fda774f4d11b00b0484bd33c81b,126,821,277,18,2,43161.793,12,74,433,0,283,288.8165,1687,222,4,1687,0,,82,365577.47,0,7,235,5,398.87726,4,187966,96,9,238955.5,1124,56,4,0,18
3,account.43990a218305482bb30b395abbedaed6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,account.f5711663dc994bab95898eda3e3be808,263,1665,727,1,0,105088.97,33,186,1087,0,719,368.1084,1638,472,4,1638,0,,170,573891.8,4,11,489,3,774.71655,8,320727,179,23,350346.53,3572,42,1,0,34
4,account.868f44f374534148b6e2827e37085d48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,account.1532a51b64104c089a027ad4c74bab18,1164,5612,4111,169,0,558153.44,57,829,3023,0,4330,341.61942,1725,2921,5,1725,0,,537,931447.2,4,24,2948,13,1589.9757,19,1044020,529,28,1361783,13823,169,0,0,62
2,account.df24ec13d312432b8813ee2f2ea8383b,205,1290,529,2,0,77808.32,46,124,777,0,528,544.34357,1626,359,4,1626,0,,151,666363.9,8,9,378,10,888.0022,5,300236,157,19,293746.53,2849,2,0,0,29
4,account.73d4c1a8b44d4c8d9b76ea6e01a01df2,0,3,0,0,0,101.85061,1,0,2,0,0,0,948,2,0,948,0,,0,0,0,0,2,0,0,0,1061,0,0,470.30063,6,0,0,0,0
3,account.6ad9e04f401347e8a1a74abb03e9b04e,47,397,200,19,0,27566.932,25,55,231,0,207,398.27795,1604,153,3,1604,0,,41,98377.35,2,9,156,0,88.59279,0,84739,37,2,108610.86,823,19,0,0,6
4,account.56b1809b06c84e0c9805b6f45f813791,169,1046,501,31,3,73709.78,30,110,788,0,488,506.07504,1639,281,4,1639,0,,115,491563.2,5,11,291,6,1296.64,3,219916,127,18,237737.14,1924,106,7,0,13
3,account.e672f73b5c614b998edf313beddc6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.dd1e77726caf4019a4e2eeed45ca2e81,142,1128,522,12,0,77811.86,36,124,712,0,475,360.68573,1721,326,4,1721,0,,128,497277.62,4,10,337,3,927.43286,5,250809,133,11,279809.1,2041,43,2,0,16
4,account.8d917c29a90c46b1a3fe9f0d60bf993f,166,1012,251,6,0,45892.426,27,69,879,0,261,617.96716,1699,300,3,1699,0,,140,460100.5,0,7,306,4,319.78265,3,230038,117,5,274258.44,1818,6,0,0,14
2,account.ffbbe31f30bc46f1a76c4d5bc0268e35,176,637,470,12,1,68682.65,34,102,464,0,472,462.015,1617,354,4,1617,0,,96,321532.75,1,13,371,5,1636.4805,2,242681,176,7,399664.66,2259,33,2,0,27
4,account.9d35b30f18a946ea8b465b84f7915a3c,28,215,129,0,0,15644.592,12,46,158,0,136,312.26358,1636,58,4,1636,0,,40,89458.86,6,10,64,0,256.68054,0,56126,37,1,58886.387,528,0,0,0,8
3,account.9925376509b54ac8ab67d3ff102da2dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.eb4f31588ea146ec9678fdfad8d107b4,29,221,100,1,0,13789.286,14,29,135,0,110,316.09427,1723,69,2,1723,0,,13,139000.05,3,11,72,6,138.60199,0,65673,38,0,80274.44,471,1,0,0,7
4,account.fe30302da065438a93b28b9f23c5343d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.036db92bee2044b4b40bb85c34981797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.3093b88dcd744bec98cc7c02da49f62d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.0702fa96820a4f1fbdb053e176a18716,560,2145,953,50,2,144441.55,37,218,1292,0,1018,482.28085,1638,610,4,1638,0,,298,1095638.4,5,14,644,1,627.7055,3,421419,285,26,548724.7,3288,145,8,0,61
3,account.db044eb4abc2420b9ffad2976b025524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.28ebb502ae3a4dc7a3373b48925fdd04,309,1342,1080,16,1,156797.95,35,217,1018,0,1180,215.99908,1443,794,4,1443,0,,216,57588.95,0,15,803,11,596.0707,9,313311,188,3,300478,2925,121,2,0,13
3,account.0d9329d9c1b1400d9493f2dbadb582c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.4c7767115c6f4dd6a0dab5ff88efe7dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.7a5cb12ff4734eadb58e9cb94cba762a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.c90b7538eeee416ba9c49f31cec1d1e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,account.98d730df14b74deabd19c04e1e7e6e32,252,2254,915,64,6,140481.08,50,179,1236,0,824,349.47025,1614,571,4,1614,0,,134,478178.47,5,10,611,7,1400.8789,4,419587,308,9,693149.9,3407,127,11,0,54
4,account.a2bf9c48bb3b4741abf1e33ad5ae938d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.91972b283b8740d3a7ae5068ec0b9354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.4ab17c76e90b40eca08bdc39575e1a95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
