cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
4,account.3cd8fb76bc3d41b2afb7af1eec2ba478,102,592,282,22,1,44219.156,26,83,439,0,301,524.46674,1653,245,3,1653,0,,77,276378.8,0,9,250,4,874.9699,1,201724,112,3,265570.03,1253,34,1,0,9
3,account.b33a608f83464d89b8b5b44892594fa9,62,476,189,11,1,28707.865,26,63,473,0,212,386.41904,1592,188,2,1592,0,,53,238592.17,2,14,198,4,482.63464,1,141318,63,3,165085.75,1107,11,1,0,17
4,account.7a22a71309b34fda97bf73c0196d99c6,56,194,68,2,0,13108.129,11,26,175,0,89,353.68973,1529,111,2,1529,0,,52,146893.19,0,4,113,1,369.05484,1,68004,40,0,86280.66,486,29,0,0,2
3,account.477a1c860f7f4820b87a02571c9f8c29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.e87e3239d3f94ae6a7484a4a4a9c62ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.be304ec269e84fd9b23747951222b509,37,221,107,7,1,16029.303,21,23,122,0,140,328.39636,1554,58,5,1554,0,,20,179524.33,4,15,69,3,135.4833,1,63707,42,3,74125.43,558,12,2,0,16
3,account.7212ce0c09084cabb9fe31f113c48d31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.8cdac2d70bb84b8a817e6034e6b28ff6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.8f5e8722fc9e4bd090577dbafe5f7809,5,53,8,7,3,1394.4238,2,1,57,0,7,146.32797,1475,8,2,1475,0,,6,26399.514,0,2,10,0,0,0,9735,7,0,12202.288,85,7,3,0,3
3,account.2c9d87b8becb43a68ad8a38edaa5fc3b,73,300,171,5,0,26831.412,25,46,262,0,165,362.13684,1626,179,3,1626,0,,50,180162.66,2,12,185,8,110.270645,2,116638,47,3,114957.07,1109,5,0,0,8
3,account.1085e802dde043f4bebb058bb89087e1,32,285,97,6,0,14866.147,9,20,292,0,74,337.61646,1638,81,2,1638,0,,23,153787.34,0,6,85,0,986.1905,0,93319,49,2,113051.39,552,6,0,0,4
