cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
4,account.3cd8fb76bc3d41b2afb7af1eec2ba478,186,1033,398,30,1,62052.75,25,106,825,0,400,536.3922,1711,424,3,1711,0,,174,575075.1,10,10,434,8,519.2286,3,308560,138,8,367978.3,2520,30,1,0,16
3,account.b33a608f83464d89b8b5b44892594fa9,44,219,104,6,0,15989.716,14,30,182,0,102,217.07387,1550,115,3,1550,0,,35,142859,0,6,115,1,44.353798,1,76259,26,3,92540.305,601,26,0,0,2
4,account.7a22a71309b34fda97bf73c0196d99c6,24,104,61,3,0,8985.917,8,15,85,0,63,320.3142,1572,51,3,1572,0,,16,60836.426,6,8,53,0,1.2104435,1,32190,20,0,40970.445,239,18,1,0,3
3,account.477a1c860f7f4820b87a02571c9f8c29,21,131,72,27,0,10569.4795,2,15,102,0,72,298.1205,1526,41,3,1526,0,,26,46298.293,0,9,41,1,106.03752,0,31498,14,1,47936.32,284,72,1,0,1
3,account.e87e3239d3f94ae6a7484a4a4a9c62ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.be304ec269e84fd9b23747951222b509,37,200,69,1,0,10397.842,20,25,95,0,88,262.22046,1553,59,2,1553,0,,16,155878.19,4,7,67,1,88.24512,1,62381,42,0,78056.08,496,3,0,0,14
3,account.7212ce0c09084cabb9fe31f113c48d31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.8cdac2d70bb84b8a817e6034e6b28ff6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,account.8f5e8722fc9e4bd090577dbafe5f7809,16,60,25,6,0,3199.7495,8,4,95,0,26,197.22246,1586,38,2,1586,0,,7,61485.414,0,8,42,2,65.6767,0,35181,15,0,48922.324,231,6,0,0,7
3,account.2c9d87b8becb43a68ad8a38edaa5fc3b,49,189,146,5,0,19465.19,12,38,197,0,136,350.4879,1639,118,4,1639,0,,37,213170.28,3,9,124,2,166.80177,2,82812,35,5,82926.53,719,24,1,0,6
3,account.1085e802dde043f4bebb058bb89087e1,24,137,58,7,0,8833.787,7,10,192,0,47,291.5724,1629,51,2,1629,0,,15,67982.305,0,5,53,1,246.44965,1,51205,25,0,73262.89,383,27,0,0,2
4,account.9b231fda774f4d11b00b0484bd33c81b,121,742,307,12,0,45150.215,17,66,470,0,281,449.25308,1622,261,4,1622,0,,77,245142.1,0,7,264,1,342.20358,2,180783,96,10,225333.6,1603,12,0,0,6
3,account.43990a218305482bb30b395abbedaed6,66,484,206,8,0,31706.973,15,58,351,0,244,299.7773,1531,161,5,1531,0,,54,87371.77,0,15,169,1,82.982864,1,100276,60,3,144665.03,1159,8,0,0,8
2,account.f5711663dc994bab95898eda3e3be808,7,60,34,1,0,5548.0938,5,9,28,0,38,219.98439,1530,14,3,1530,0,,5,19081.137,0,10,14,0,14.673855,0,12007,6,0,14858.171,168,1,0,0,0
4,account.868f44f374534148b6e2827e37085d48,168,903,447,3,0,68611.27,23,96,641,0,458,319.13766,1587,361,3,1587,0,,98,339050.03,2,12,369,5,446.6646,10,170683,67,20,164656.8,2431,51,1,0,12
1,account.1532a51b64104c089a027ad4c74bab18,938,2404,3349,147,1,435851.62,43,547,2186,0,3744,287.46585,1517,2137,7,1517,0,,501,195739.38,6,26,2159,14,730.9077,24,574762,356,7,714689.06,9006,295,1,0,46
2,account.df24ec13d312432b8813ee2f2ea8383b,126,574,349,15,0,49353.934,18,78,401,0,335,370.42624,1740,247,4,1740,0,,77,244760.73,5,10,252,8,502.66986000000003,1,145984,56,9,179031.95,1675,24,0,0,10
4,account.73d4c1a8b44d4c8d9b76ea6e01a01df2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
