cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
4,account.3cd8fb76bc3d41b2afb7af1eec2ba478,96,353,217,6,0,30742.35,16,58,304,0,243,331.2585,1539,228,4,1539,0,,83,137937.98,1,12,235,0,142.60182,1,111255,66,3,144024.5,1003,6,0,0,10
3,account.b33a608f83464d89b8b5b44892594fa9,142,838,363,28,1,55260.195,29,80,822,0,323,307.01358,1601,332,3,1601,0,,98,342919.6,1,9,335,4,448.82907,2,202817,69,10,233498.03,1734,28,1,0,9
4,account.7a22a71309b34fda97bf73c0196d99c6,70,249,191,1,0,24418.836,14,51,223,0,210,260.7276,1546,105,3,1546,0,,43,151457.14,0,15,113,0,197.21065,0,63604,43,4,83112.445,559,1,0,0,9
3,account.477a1c860f7f4820b87a02571c9f8c29,232,1336,771,11,0,110475.9,27,167,1301,0,754,431.33105,1732,592,5,1732,0,,263,507622.8,2,11,602,5,1194.6328,6,324961,130,9,380885.94,3681,11,0,0,16
3,account.e87e3239d3f94ae6a7484a4a4a9c62ea,76,292,165,10,2,21125.078,10,47,303,0,155,336.0979,1631,171,4,1631,0,,47,165906.92,0,9,176,2,411.9981,0,99305,33,3,135325.67,879,10,2,0,8
4,account.be304ec269e84fd9b23747951222b509,21,129,25,1,2,4826.388,13,6,72,0,18,130.76054,1565,50,2,1565,0,,7,92696.98,0,2,52,1,115.1497,0,41046,25,3,43537.695,344,2,2,0,4
3,account.7212ce0c09084cabb9fe31f113c48d31,284,1142,605,4,0,87698.35,39,130,1097,0,591,298.80014,1640,706,4,1640,0,,199,362082.75,2,16,713,5,1538.573,8,330667,158,5,389441.9,3317,4,0,0,18
3,account.8cdac2d70bb84b8a817e6034e6b28ff6,149,1265,439,15,1,68543.46,19,119,603,0,449,351.5897,1672,371,4,1672,0,,89,277389.25,0,9,392,7,1777.2651,4,242460,137,7,285171.88,2531,15,1,0,25
4,account.8f5e8722fc9e4bd090577dbafe5f7809,179,1212,434,5,0,61976.707,37,116,1603,0,415,316.3454,1625,672,3,1625,0,,195,622658.06,0,12,690,24,4077.6736,9,438379,237,3,512177.44,3820,28,2,0,27
3,account.2c9d87b8becb43a68ad8a38edaa5fc3b,182,793,483,0,1,71704.04,26,151,825,0,517,302.97852,1638,375,3,1638,0,,151,621557.1,17,24,399,6,1995.1477,3,291290,164,12,294599.88,2539,0,1,0,42
3,account.1085e802dde043f4bebb058bb89087e1,44,436,163,6,0,24226.988,16,41,352,0,145,507.17853,1620,159,4,1620,0,,43,244050.11,0,8,162,2,419.34106,2,144090,69,7,229406.42,947,16,0,0,7
4,account.9b231fda774f4d11b00b0484bd33c81b,122,720,299,13,1,44981.27,16,62,435,0,288,284.45758,1663,275,3,1663,0,,95,277049.34,1,9,286,2,317.82413,3,188836,101,8,245454.02,1634,62,5,0,17
3,account.43990a218305482bb30b395abbedaed6,119,783,366,5,0,53693.676,30,80,508,0,377,338.2429,1714,319,4,1714,0,,107,140081.64,0,8,329,6,428.866,2,172882,117,4,254712.38,2046,22,2,0,13
2,account.f5711663dc994bab95898eda3e3be808,284,2379,870,45,0,129988.375,36,234,1409,0,866,372.18625,1647,615,4,1647,0,,207,850331.44,10,11,631,8,782.44086,13,438127,264,42,448872.38,5447,54,2,0,33
4,account.868f44f374534148b6e2827e37085d48,154,532,328,12,0,49381.035,22,50,516,0,320,338.87177,1643,368,3,1643,0,,147,307237.88,5,8,373,6,348.82416,1,200679,123,9,219295.78,1938,83,4,0,11
1,account.1532a51b64104c089a027ad4c74bab18,1512,2451,5475,140,0,741459.5,55,993,2870,0,5956,291.16647,1444,4163,6,1444,0,,695,57301.71,0,18,4177,22,147.39062,20,783694,379,2,750442.5,12366,292,1,0,41
2,account.df24ec13d312432b8813ee2f2ea8383b,362,2408,1114,36,0,163733.08,41,250,1490,0,1080,621.1287,1678,860,4,1678,0,,241,798797.7,9,12,885,5,1998.5161,8,487801,239,28,524064.03,5909,36,0,0,34
4,account.73d4c1a8b44d4c8d9b76ea6e01a01df2,456,2389,1091,40,3,157642.92,35,217,1503,0,1022,477.14426,1653,896,4,1653,0,,387,1036883.5,2,8,916,18,2062.4023,7,657163,327,30,682613.25,5750,52,3,0,32
3,account.6ad9e04f401347e8a1a74abb03e9b04e,26,281,130,11,0,18654.803,15,34,174,0,134,403.51102,1561,107,3,1561,0,,28,71836.21,0,9,110,1,319.17673,3,59889,34,3,66887.41,674,11,0,0,4
4,account.56b1809b06c84e0c9805b6f45f813791,163,905,485,13,1,74047.06,28,105,637,0,444,486.68616,1720,276,5,1720,0,,124,326256.66,1,10,286,8,833.3677,5,191130,120,12,215688.05,2314,18,1,0,15
3,account.e672f73b5c614b998edf313beddc6281,186,603,570,9,0,79272.11,32,148,596,0,606,407.38892,1763,409,4,1763,0,,116,146547.77,11,19,419,2,1345.461,10,181995,91,4,213003.44,1953,24,0,0,16
4,account.dd1e77726caf4019a4e2eeed45ca2e81,84,637,356,0,0,49777.8,41,94,496,0,330,443.02585,1582,268,4,1582,0,,63,346255.62,3,17,276,7,4019.17,6,199108,136,7,173065.5,1520,0,0,0,8
4,account.8d917c29a90c46b1a3fe9f0d60bf993f,371,1914,1061,6,1,151714.67,45,235,1446,0,1051,385.12952,1646,712,4,1646,0,,220,774038.56,3,12,737,11,1654.393,5,444121,283,28,482408.53,5139,45,2,0,43
2,account.ffbbe31f30bc46f1a76c4d5bc0268e35,109,481,363,13,2,52206.24,24,63,407,0,336,256.64743,1628,260,4,1628,0,,70,319559,1,9,273,6,714.3388,4,182473,140,12,251835.5,1951,16,2,0,20
4,account.9d35b30f18a946ea8b465b84f7915a3c,378,2144,942,13,0,136065.33,47,190,1772,0,888,324.01923,1670,1013,3,1670,0,,314,629228,4,12,1033,15,1386.1189,10,567028,271,28,605944.7,6886,13,0,0,34
3,account.9925376509b54ac8ab67d3ff102da2dc,168,275,453,0,0,57400.312,33,81,667,0,488,376.58093,1533,416,4,1533,0,,108,170934.02,2,12,422,2,1197.421,6,172458,87,8,188182.6,1786,16,0,0,11
4,account.eb4f31588ea146ec9678fdfad8d107b4,193,962,308,19,0,53326.477,24,58,702,0,294,493.95566,1692,299,4,1692,0,,114,481836.4,5,8,316,11,621.9531,6,248284,146,18,294930.8,2324,62,0,0,21
4,account.fe30302da065438a93b28b9f23c5343d,493,2498,1730,1,0,237121.61,35,320,1712,0,1815,416.28098,1645,1010,4,1645,0,,265,512502.47,2,27,1028,3,627.80084,6,458348,236,7,555961.44,5595,1,0,0,37
3,account.036db92bee2044b4b40bb85c34981797,74,407,342,0,2,47480.61,38,108,357,0,392,439.2136,1531,195,6,1531,0,,57,143393.36,8,18,205,6,150.51793,5,110384,60,4,116000.83,998,12,6,0,23
4,account.3093b88dcd744bec98cc7c02da49f62d,352,2351,1307,35,1,186691.28,46,279,1425,0,1434,366.73755,1732,768,6,1732,0,,238,923031,48,22,806,17,533.81793,6,506563,302,29,573768.5,4843,117,5,0,60
4,account.0702fa96820a4f1fbdb053e176a18716,1,48,9,4,1,1402.2677,4,2,25,0,8,87.881004,1559,8,3,1559,0,,0,20325.105,0,4,9,0,0,0,7308,4,0,11382.843,75,4,1,0,1
3,account.db044eb4abc2420b9ffad2976b025524,167,1078,637,26,0,87075.61,17,143,696,0,633,387.85257,1580,428,4,1580,0,,148,432510.12,5,11,430,5,100.699295,10,260046,124,20,246383.53,2353,26,0,0,7
4,account.28ebb502ae3a4dc7a3373b48925fdd04,112,587,389,7,0,53568.35,23,80,369,0,419,304.18158,1451,311,4,1451,0,,74,21706.984,0,12,319,7,24.87812,4,123080,78,1,167176.98,1330,27,0,0,9
3,account.0d9329d9c1b1400d9493f2dbadb582c2,147,1456,389,16,2,64085.547,22,77,911,0,376,564.57697,1643,397,3,1643,0,,119,546343.94,2,8,417,10,1363.644,5,341565,208,8,454374.4,2969,16,2,0,24
3,account.4c7767115c6f4dd6a0dab5ff88efe7dc,40,215,153,15,0,20305.363,11,35,255,0,137,207.6773,1675,128,3,1675,0,,37,130226.42,3,7,129,3,135.15681,2,81886,38,2,84999.68,776,17,0,0,1
4,account.7a5cb12ff4734eadb58e9cb94cba762a,42,161,147,18,0,20825.969,7,37,201,0,143,321.4922,1551,129,4,1551,0,,37,27897.012,0,6,130,1,137.64554,0,60142,39,1,74649.11,703,18,0,0,2
3,account.c90b7538eeee416ba9c49f31cec1d1e1,211,1592,782,54,1,112976.28,24,182,1035,0,704,591.51154,1714,479,4,1714,0,,182,653738.2,8,11,498,3,675.7333,2,339732,188,11,392168.1,3700,73,1,0,22
2,account.98d730df14b74deabd19c04e1e7e6e32,319,2100,994,0,0,152780.77,46,244,1106,0,1051,489.11667,1666,591,5,1666,0,,164,286856.2,6,19,623,11,2772.468,4,355738,277,11,620211.3,4146,11,1,0,51
4,account.a2bf9c48bb3b4741abf1e33ad5ae938d,127,321,228,0,0,32934.434,9,59,313,0,273,299.6583,1605,138,3,1605,0,,68,82987.54,0,10,140,0,41.682854,1,65051,44,4,75791.58,863,0,0,0,6
3,account.91972b283b8740d3a7ae5068ec0b9354,76,635,194,0,0,30263.004,24,53,370,0,180,363.7524,1564,178,3,1564,0,,67,233788.92,0,7,182,7,685.5333,5,133267,65,4,142684.06,1364,0,0,0,7
3,account.4ab17c76e90b40eca08bdc39575e1a95,61,326,387,0,0,48392.875,18,86,238,0,426,464.70685,1553,120,4,1553,0,,47,125924.016,4,29,124,4,13.041479,2,70321,40,1,73695.98,966,19,0,0,6
4,account.780eaeb7e2f8434e80c05dfd695fd10d,107,928,292,10,0,41771.887,23,59,708,0,296,258.19632,1587,293,3,1587,0,,90,302202.06,2,9,301,2,774.8248,5,186749,110,12,184310.1,2039,22,0,0,8
3,account.83d4e052aead4baa86d508e3858bf090,78,700,308,7,0,47338.13,26,79,448,0,324,313.38144,1652,242,3,1652,0,,81,266748.88,1,14,245,6,264.62598,3,165820,74,3,160449.36,1833,7,0,0,10
3,account.edd9ff9fe42e467dbe6e0c94faacde0e,150,938,548,5,0,76102.29,33,106,811,0,493,329.8078,1631,421,4,1631,0,,149,272341.78,0,8,423,1,255.59372,5,221408,133,7,260921.55,2464,101,0,0,8
4,account.22775634ac4a40f8bcf9bed5f7cc42bb,529,3175,1488,8,0,212059.3,51,263,2407,0,1407,436.4084,1723,1257,4,1723,0,,390,1019046.8,32,12,1278,21,2037.8375,9,728965,348,25,744691.8,9668,35,0,0,35
