"kills","assists","damageDealt","timeSurvived","wins"
-0.20886874078921,-0.196663157348952,-0.213780242170892,-0.253657122398702,-0.215779607187793
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.296600587417011,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
0.538278862866705,0.868370803893673,0.588792024033226,0.713707918965937,0.434030776372332
-0.260098820876955,-0.238726110004664,-0.267039698882063,-0.295605441395776,-0.226609780247128
-0.0729314985761857,-0.0519666002133034,-0.0442292525563381,-0.0165759951813512,-0.161628741891116
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.247925336499669,-0.240408628110893,-0.254944144158706,-0.282537943696108,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
0.1071346245045,0.259299249438965,0.16807942996198,0.23940643043499,0.10912558459227
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.296686934143365,-0.237439953306464
-0.12466880717965,-0.109172215825072,-0.137046436042897,-0.0689541892214841,-0.0316666651790908
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
1.07289771843584,1.96537260915464,1.0962476370032,2.38329116627724,2.70836711883277
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.260606049392675,-0.238726110004664,-0.266722818060192,-0.295603282727617,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
0.176624931158173,0.190316007083597,0.203452607012207,0.105852869448473,-0.0533270112977617
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.258577135329794,-0.238726110004664,-0.265121878440752,-0.292027448922463,-0.226609780247128
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
-0.256548221266913,-0.240408628110893,-0.264239508039653,-0.291763012073003,-0.237439953306464
-0.263142191971276,-0.240408628110893,-0.269554168323863,-0.297172634479109,-0.237439953306464
