cluster,accountId,assists,boosts,dBNOs,dailyKills,dailyWins,damageDealt,days,headshotKills,heals,killPoints,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rankPoints,rankPointsTitle,revives,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,teamKills,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,weeklyKills,weeklyWins,winPoints,wins
4,account.3821f8af6ca240acbf75bd493ffa034a,100,499,325,5,0,47770.34,33,74,522,0,324,420.995,1639,428,4,1639,0,,76,656187,15,10,445,12,1626.2407,2,341917,139,2,357878.9,2635,55,2,0,23
3,account.830f2bfcb3a1474198a14a295c3827a2,5,53,21,12,1,2863.5225,4,3,20,0,27,279.03683,1467,10,3,1467,0,,6,23329.535,2,6,11,0,0,0,11934,7,0,17245.44,86,12,1,0,1
3,account.4ad0e69d301a4900ac4a0d6314188e3b,1,20,4,1,0,348.5828,3,0,16,0,1,4.4428706,1435,18,1,1435,0,,5,16985.611,0,1,18,1,39.443306,0,11234,5,0,16438.758,100,1,0,0,0
4,account.fd8abba193904f299217b9fa978314a6,101,454,184,8,1,25387.705,44,37,448,0,226,276.4229,1654,201,4,1654,0,,74,404088.72,29,10,222,4,1704.9592,4,203398,125,2,263176.34,1104,8,1,0,33
3,account.f194e3229b804192ac793d4f5ce4aae7,82,206,190,9,1,27591.078,24,80,291,0,232,415.03555,1579,126,3,1579,0,,40,270671.8,3,13,141,2,843.00354,0,131389,81,3,201213.53,991,9,1,0,20
3,account.0b858fe73eaa4caa8aa7373a849bae2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.37f041346b5a43a6ab121d564f0b2a17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,account.8c8c351fcc9048ed92a1dd2608dfb06c,0,0,1,1,0,94.58589,2,1,1,0,1,2.0003076,740,2,1,740,0,,0,1392.9535,0,1,2,0,0,0,1042,0,0,1072.1294,7,1,0,0,0
3,account.0bbfd8d809f3482fb437251f9b459b92,60,417,179,0,0,28962.762,43,40,496,0,216,316.5216,1642,236,3,1642,0,,53,408716.4,3,9,241,5,1637.4962,0,205070,99,0,298004.53,1171,2,0,0,9
4,account.8c22f821098b41888a2cdea08418a088,32,228,151,13,0,21117.725,21,25,429,0,153,455.1025,1646,207,3,1646,0,,48,712137.5,17,7,214,5,2374.6406,3,171445,81,1,136334.83,1133,16,0,0,9
